Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
E08000001,Bolton,32571.43,38471.43,45437.14,"1,240",45.68420852,38.67805278,32.74854007
E08000002,Bury,36050,42534.62,50211.54,"1,511",50.29680999,42.62880449,36.11122065
E08000003,Manchester,33352.63,39575.44,46961.4,"1,342",48.28404836,40.69190387,34.291993
E08000004,Oldham,32060.61,37890.91,44778.79,"1,444",54.04763041,45.73128489,38.69689199
E08000005,Rochdale,32888,38808,45796,"1,733",63.23279008,53.5868893,45.41007948
E08000006,Salford,33366.67,39450,46673.33,"1,964",70.63335958,59.74144487,50.49564709
E08000007,Stockport,39016.67,46095.24,54447.62,"1,533",47.14907756,39.90867604,33.78660077
E08000008,Tameside,32333.33,38136.67,44986.67,"1,386",51.43918056,43.6115686,36.97095162
E08000009,Trafford,40832.14,48282.14,57071.43,"1,201",35.29572538,29.84954685,25.25256508
E08000010,Wigan,32895,38810,45810,"1,260",45.96443228,38.95903118,33.00589391
E08000011,Knowsley,31305,36995,43745,"1,378",52.82223287,44.69793215,37.80089153
E08000012,Liverpool,31577.05,37424.59,44363.93,"1,787",67.91008026,57.29922492,48.33656531
E08000013,St. Helens,32939.13,38882.61,45895.65,"2,712",98.80042369,83.69808508,70.90868089
E08000014,Sefton,34113.16,40292.11,47610.53,"1,437",50.54940674,42.79746084,36.21887847
E08000015,Wirral,33635.71,39740.48,46938.1,"1,731",61.75579466,52.26912206,44.25402818
E08000016,Barnsley,29966.67,35570,42226.67,"1,350",54.06006073,45.54399775,38.36437967
E08000017,Doncaster,30528.21,36243.59,43020.51,"1,639",64.42565745,54.26614748,45.71772859
E08000018,Rotherham,30224.24,35833.33,42475.76,"1,510",59.95187968,50.56744656,42.65962516
E08000019,Sheffield,33881.43,40572.86,48570,"1,318",46.68043822,38.98172325,32.56331069
E08000021,Newcastle upon Tyne,32000,38244.83,45679.31,"1,768",66.3,55.47416474,46.44553519
E08000022,North Tyneside,33636.67,39980,47520,"1,732",61.78970748,51.985993,43.73737374
E08000023,South Tyneside,29169.57,34652.17,41165.22,"1,144",47.06274381,39.61656658,33.34854035
E08000024,Sunderland,29822.22,35441.67,42105.56,"1,649",66.35320912,55.83258351,46.99616868
E08000025,Birmingham,33575.76,39845.45,47293.18,"1,366",48.8209351,41.13895062,34.66038866
E08000026,Coventry,35507.14,42080.95,49900,"1,902",64.28002931,54.23831924,45.73947896
E08000027,Dudley,33381.4,39502.33,46751.16,"2,528",90.87695543,76.79547004,64.88822951
E08000028,Sandwell,31871.05,37673.68,44515.79,1033,38.8942316,32.90360804,27.84629903
E08000029,Solihull,40441.38,47844.83,56627.59,832,24.68758485,20.86745841,17.63098165
E08000030,Walsall,32607.69,38561.54,45610.26,690,25.39278311,21.4721715,18.15381013
E08000031,Wolverhampton,32281.82,38206.06,45230.3,1149,42.71134651,36.0885158,30.48398971
E08000032,Bradford,30806.56,36647.54,43585.25,769,29.95465901,25.18040774,21.17230026
E08000033,Calderdale,31011.11,36814.81,43711.11,778,30.10533967,25.35935945,21.35841437
